names,described as,image 1,image 2,url
"Uttermost 23244 Gamlin - 41"" Counter Stool","['counter', 'gamlin gray', 'stool', 'uttermost']",https://st.hzcdn.com/fimgs/eca1acfa0bc5effa_3671-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/1f2190fe0bc5effb_3671-w65-h65-b1-p0--.jpg,https://www.houzz.com/products/uttermost-23244-gamlin-41-counter-stool-prvw-vr~160104018
"GDF Studio Evelyn Mid Century Modern Fabric Arm Chair, Beige/Walnut",[],https://st.hzcdn.com/fimgs/c1c1adee0f9082cf_1739-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/ffb1f4a90f9082d2_3629-w65-h65-b0-p0--.jpg,https://www.houzz.com/products/gdf-studio-evelyn-mid-century-modern-fabric-arm-chair-beige-walnut-prvw-vr~123734598
"Colter Leather Dining Arm Chair with Steel Legs, Black","['Black Colter Dining Arm Chair', 'Colter Arm Chair', 'Colter Armchairs', 'Colter Leather Dining Arm Chair with Steel Legs', 'Dark Grey Colter Dining Arm Chair', 'Mink Colter Dining Arm Chair', 'modern leather dining chair', 'Nuevo Colter Arm Chair', 'Nuevo Colter Leather Dining Arm Chair with Steel Legs', 'Nuevo Living Colter Arm Chair']",https://st.hzcdn.com/fimgs/4451a29c080a7f73_7543-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/171164d9080a7f74_7543-w65-h65-b1-p0--.jpg,https://www.houzz.com/products/colter-leather-dining-arm-chair-with-steel-legs-black-prvw-vr~128568875
Glacier Country Collection Side Chair With Ergonomic Wooden Seat,"['dining chair', 'dining room', 'genuine lodge pole pine', 'hand crafted', 'heirloom quality', 'kitchen chair', 'log furniture', 'made in montana', 'Made in U.S.A.', 'montana woodworks', 'rustic furniture', 'side chair', 'solid wood']",https://st.hzcdn.com/fimgs/46b13b4a07169133_3031-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/389106e507169138_3031-w65-h65-b0-p0--.jpg,https://www.houzz.com/products/glacier-country-collection-side-chair-with-ergonomic-wooden-seat-prvw-vr~53176509
"GDF Studio Oliver Farmhouse Armchair, Green Checkerboard/Dark Brown",[],https://st.hzcdn.com/fimgs/16a17ef50f9068fe_2086-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/5201ffb10f9068ff_3657-w65-h65-b0-p0--.jpg,https://www.houzz.com/products/gdf-studio-oliver-farmhouse-armchair-green-checkerboard-dark-brown-prvw-vr~126620588
"Paloma Cognac Velvet Accent Chair, Cognac",[],https://st.hzcdn.com/fimgs/559115010c378f87_9378-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/10311f450c378f89_6966-w65-h65-b0-p0--.jpg,https://www.houzz.com/products/paloma-cognac-velvet-accent-chair-cognac-prvw-vr~135868071
"Modern Dining Chairs Wood Armchairs, Set of 2, Natural","['2xhome chairs', '2xhome Wood Chairs', 'dining chair', 'dining room chair', 'living room chair', 'modern chairs', 'wood legs', 'woven papercord seat', 'Y Chairs']",https://st.hzcdn.com/fimgs/4041c32c0b1051d4_9686-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/2d61e5af0b1051d7_0076-w65-h65-b0-p0--.jpg,https://www.houzz.com/products/modern-dining-chairs-wood-armchairs-set-of-2-natural-prvw-vr~95556121
"Victoria Modern Dining Chair With Beech Wood Legs, Set of 2",[],https://st.hzcdn.com/fimgs/e1f1ccd70f931da2_3542-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/a4010a920f931da3_3709-w65-h65-b0-p0--.jpg,https://www.houzz.com/products/victoria-modern-dining-chair-with-beech-wood-legs-set-of-2-prvw-vr~141800827
"West Palm Living Room Accent Chair in Rustic Oak, Beige","['Beige accent chair', 'living room accent chair', 'Rustic Arm Accent Chair', 'taupe accent chair', 'Weathered Oak Accent Chair', 'wood accent chair']",https://st.hzcdn.com/fimgs/3a2144320d0d2e19_8773-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/006140ec0d0d2e1a_6128-w65-h65-b0-p0--.jpg,https://www.houzz.com/products/west-palm-living-room-accent-chair-in-rustic-oak-beige-prvw-vr~130121156
"Giselle Velvet Dining Chairs, Set of 2, Pink, Gold Base","['accent chair', 'armless', 'Dining', 'elegant', 'metal', 'modern', 'traditional', 'upholstered', 'velvet']",https://st.hzcdn.com/fimgs/38f195490ae8fffe_9568-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/b6b1b8190ae90000_7498-w65-h65-b1-p0--.jpg,https://www.houzz.com/products/giselle-velvet-dining-chairs-set-of-2-pink-gold-base-prvw-vr~118265642
"Sienna Leather Dining Chair, Matte Ochre","['Dining', 'frame construction', 'frame details', 'fully clad in leather', 'leather', 'ochre', 'steel frame']",https://st.hzcdn.com/fimgs/188158de05b01de2_0281-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/4351474205b01de6_0281-w65-h65-b1-p0--.jpg,https://www.houzz.com/products/sienna-leather-dining-chair-matte-ochre-prvw-vr~33826732
"High Wingback Linen Armchair, Purple","['accent chair', 'accent chairs tufted nailhead chair', 'classic chair', 'club chair', 'high back chair', 'leather armchair', 'leather chair leather wingback chair', 'linen chair', 'living lounge chair', 'living room chair', 'modern chair', 'nailhead chair', 'recliner chairs', 'relax chair', 'tufted chair', 'velvet chair', 'wingback chair']",https://st.hzcdn.com/fimgs/b3a1b3160f27b2df_0488-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/25b18d4e0f27b2e9_0488-w65-h65-b1-p0--.jpg,https://www.houzz.com/products/high-wingback-linen-armchair-purple-prvw-vr~162656509
