names,described as,image 1,image 2
"Astor Sofa, Sapphire","['american made sofa', 'choice of fabrics sofa', 'contemporary sofa', 'custom sofa', 'Hand Made Sofa', 'living room sofa', 'Made in Usa sofa']",https://st.hzcdn.com/fimgs/5d81e7700f5fdfeb_8342-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/df61a1d00f5fdfec_8342-w65-h65-b0-p0--.jpg
"Erin Contemporary Tufted Fabric 3-Seater Sofa, Beige, Natural Finish",[],https://st.hzcdn.com/fimgs/8881ea7d0f9076ff_3009-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/a6a1f0fa0f907701_2968-w65-h65-b0-p0--.jpg
Bowery Hill Leather Chesterfield Sofa In Grey,[],https://st.hzcdn.com/fimgs/4b21ae5a0d682445_4016-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/ba9167010d682435_4016-w65-h65-b0-p0--.jpg
"Serene Linen Down Filled Cloud Modular Sofa, Cream, 4-Seater","['cloud modular sofa', 'contemporary', 'elegant', 'furniture', 'modern', 'modular to create infinite configurations', 'overall height 35"" when back cushion fully upright', 'overstuffed down feather cushions for maximum comfort', 'soft cream durable linen fabric upholstery', 'upholstered', 'velvet']",https://st.hzcdn.com/fimgs/d16106bc0e853d3e_5733-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/7581e4770e853d4a_3065-w65-h65-b0-p0--.jpg
"Sutton Sofa, Mountain Gray","['american made sofa', 'Apartment size sofa', 'choice of fabrics sofa', 'custom sofa', 'Hand Made Sofa', 'living room furniture', 'Made in Usa sofa']",https://st.hzcdn.com/fimgs/06e11bad0f5fe40e_8973-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/2541c1b40f5fe40e_8973-w65-h65-b0-p0--.jpg
"Taylor Velvet Sofa, Light Blue","['bolstering pillows', 'contemporary', 'couch', 'couch pillow', 'foam', 'light blue', 'living room', 'modern', 'sofa', 'Tufted Buttons', 'upholstered', 'velvet']",https://st.hzcdn.com/fimgs/c7d178b10a62705b_2984-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/e871a79d0a62705f_2984-w65-h65-b0-p0--.jpg
"Dolce Velvet Bed, Green, Queen","['comfortable', 'contemporary', 'contemporary design', 'dolce', 'dolce green velvet queen bed', 'gold metal trim and legs', 'green', 'luxurious', 'luxurious green velvet', 'meridian furniture', 'modern', 'nice', 'queen bed', 'sturdy', 'velvet']",https://st.hzcdn.com/fimgs/d881a76f0dd80254_8760-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/5e312a9c0dd8025e_8760-w65-h65-b0-p0--.jpg
"Orson Sofa, Dark Gray","['100% Leather', 'Chic', 'dark gray', 'Full Leather', 'leather', 'living room', 'midcentury', 'modern', 'seating', 'sleek', 'slim', 'sofa', 'wooden']",https://st.hzcdn.com/fimgs/05614b010ad10dcc_3672-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/a071f95a0ab401b3_3672-w65-h65-b0-p0--.jpg
"Nailhead Trimmed Ivory Linen Fabric Platform Bed with Wooden Slats, Full","['bed', 'bed frame', 'bed frames', 'bedframe', 'Bedroom', 'bedroom furniture', 'classic', 'contemporary', 'frame', 'full', 'full size', 'furniture', 'king', 'king size', 'modern', 'queen', 'queen size']",https://st.hzcdn.com/fimgs/15e169a50c41156c_0581-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/3d31694c0c41156d_0581-w65-h65-b0-p0--.jpg
"CosmoLiving by Cosmopolitan Audrey Velvet Upholstered Bed, Black, Queen","['bed', 'glam', 'gold', 'velvet']",https://st.hzcdn.com/fimgs/9951da990e139cc6_6948-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/a1b1610a0e139cc7_1399-w65-h65-b0-p0--.jpg
"Ashton Linen Bed, Navy, Queen","['bed', 'Bedroom', 'contemporary', 'fabric', 'headboard', 'linen', 'modern', 'nailhead', 'neutral', 'queen', 'traditional', 'tufted', 'wood']",https://st.hzcdn.com/fimgs/81915f4207c88f7f_2962-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/bc813b3207c88d0c_2962-w65-h65-b1-p0--.jpg
"Lodi Queen Bed, Green",[],https://st.hzcdn.com/fimgs/c6f1bbef0ea0c5a5_4949-w65-h65-b0-p0--.jpg,https://st.hzcdn.com/fimgs/69712e960ea0c5b3_4949-w65-h65-b1-p0--.jpg
"Omax Decor Hugo Upholstered Platform Bed, Light Gray","['bedroom furniture', 'contemporary bed', 'cool bed', 'fabric', 'green bed', 'grey bed', 'guest room', 'Light grey bed', 'Mid century bed', 'modern bed', 'platform bed', 'queen bed', 'scandinavian bed', 'solid bed', 'upholsered bed', 'wheatgrass bed', 'wood bed']",https://st.hzcdn.com/fimgs/f92126de0a9442bb_5853-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/fa3143e20a8878c6_3096-w65-h65-b1-p0--.jpg
"Baxton Studio Mid-Century Masterpieces Sofa, Brown",['sofa/ modern/brown wood/ leather'],https://st.hzcdn.com/fimgs/4d11406105e89aac_5144-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/8911919205e89ab6_5144-w65-h65-b1-p0--.jpg
Briana Dining Table,"['Dining', 'dining set', 'dining table', 'kitchen', 'table']",https://st.hzcdn.com/fimgs/ae91a3ef07d31ba2_8009-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/a46146a907c44bf0_8009-w65-h65-b0-p0--.jpg
"Legend Dining Table Bases Only, Brushed Stainless Steel","['base', 'Dining', 'legend', 'table']",https://st.hzcdn.com/fimgs/6ce146eb0fc91c27_9209-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/d53167bb0fc91c28_2515-w65-h65-b1-p0--.jpg
Divani Casa Admiral Modern Classic Sand Fabric Sofa,"['100% linen', '2-Back Cushions', 'fabric', 'pine', 'sand', 'Slipcovered Frame', 'sofa']",https://st.hzcdn.com/fimgs/9731c6be0e2718b9_2256-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/7461a6060ecb9bc9_2256-w65-h65-b0-p0--.jpg
"Rimini Sofa, Green","['806810356609', '90""w x 37.5""d x 30.5""h', 'acrylic', 'chair', 'chaise', 'couch', 'furniture', 'glass', 'green', 'indoor', 'living room', 'loveseat', 'metal', 'rimini green velvet sofa', 'seating', 'set', 'sofa', 'SofaMania', 'steel', 'tov furniture', 'tov-l4114', 'transparent', 'upholstery', 'vb3098-11', 'velvet', 'wood']",https://st.hzcdn.com/fimgs/4f315fd00cf7029a_4311-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/bbb1420f0cf7029d_4311-w65-h65-b1-p0--.jpg
